iteration,best_heuristic,avg_simulation
1,62.348198,59.41796
2,62.47359,61.87711
3,62.47359,62.042736
4,62.56131,62.14515
5,63.350784,62.47729
6,63.438503,62.795193
7,63.44825,63.086937
8,63.579197,63.284405
9,63.92973,63.4314
10,63.227978,62.720512
11,63.227978,62.992702
12,63.23637,63.181194
13,63.333836,63.12124
14,63.333836,63.228775
15,64.38647,63.45655
16,64.47418,63.718002
17,64.893295,64.32075
18,65.287254,64.61437
19,65.287254,64.96179
20,65.47244,65.16399
21,65.38472,65.09178
22,65.53191,65.18558
23,64.74244,64.36543
24,65.543976,64.64929
25,65.46999,64.79927
26,65.61355,65.465614
27,65.68268,65.35956
28,65.88254,65.23959
29,65.97026,65.43973
30,65.97026,65.642715
31,66.03885,65.72751
32,66.17848,65.73977
33,66.24289,66.041306
34,66.35774,66.21555
35,66.36627,66.19092
36,66.445465,66.30314
37,66.445465,66.2206
38,66.445465,65.9846
39,66.56616,66.32461
40,66.56616,66.47383
41,66.653885,66.24423
42,66.653885,66.39809
43,66.9722,66.568375
44,66.9722,66.57262
45,66.9722,66.88961
46,67.05992,66.79527
47,67.147644,66.765854
48,67.147644,66.88049
49,67.202805,66.99323
51,67.16647,66.76466
52,67.20686,66.771904
53,67.20686,67.000015
54,67.20686,66.962456
55,67.20686,66.86576
56,67.29089,67.010216
57,67.37861,67.18266
58,67.50475,67.32381
59,67.41704,67.22122
60,67.59247,67.39836
61,67.50475,67.30684
62,67.61356,67.23472
63,67.66927,67.41042
64,67.75699,67.50596
65,67.731964,67.485306
66,67.731964,67.49876
67,67.78941,67.665146
68,67.78941,67.62228
69,67.78941,67.63921
70,67.78941,67.6314
71,67.78941,67.456314
72,67.80444,67.59157
73,67.80444,67.61776
74,67.9711,67.737526
75,67.9711,67.48711
76,67.9711,67.83458
77,67.99132,67.79916
78,67.99132,67.7342
79,67.99132,67.89006
80,68.136055,67.695694
81,68.136055,67.79263
82,68.136055,67.822914
83,68.136055,67.99364
84,68.136055,67.92314
85,68.136055,67.98092
86,68.136055,67.99701
87,68.21164,68.084984
88,68.21164,68.00343
89,68.21164,67.989746
90,68.26083,67.976326
91,67.208206,66.99555
92,67.208206,67.11675
93,67.208206,66.90273
94,67.99768,67.17485
95,67.99768,67.15501
96,67.99768,67.87444
97,67.99768,67.83387
98,68.17311,68.01957
99,68.240616,67.95574
